,Datetime,MW,Utility,Year,Month,Day,Day_of_Week,Weekend,Temp(f)
20163,2016-01-01 00:00:00,1793.0,DAYTON,2016,1,1,4,0,30.99
23740,2016-12-31 01:00:00,1788.0,DAYTON,2016,12,31,5,1,33.8
23741,2016-12-31 02:00:00,1730.0,DAYTON,2016,12,31,5,1,32.0
23742,2016-12-31 03:00:00,1701.0,DAYTON,2016,12,31,5,1,30.2
23743,2016-12-31 04:00:00,1693.0,DAYTON,2016,12,31,5,1,32.0
23744,2016-12-31 05:00:00,1708.0,DAYTON,2016,12,31,5,1,33.8
23745,2016-12-31 06:00:00,1732.0,DAYTON,2016,12,31,5,1,33.8
23746,2016-12-31 07:00:00,1778.0,DAYTON,2016,12,31,5,1,33.8
23747,2016-12-31 08:00:00,1849.0,DAYTON,2016,12,31,5,1,33.8
23748,2016-12-31 09:00:00,1877.0,DAYTON,2016,12,31,5,1,35.6
23749,2016-12-31 10:00:00,1937.0,DAYTON,2016,12,31,5,1,35.6
23750,2016-12-31 11:00:00,1949.0,DAYTON,2016,12,31,5,1,35.6
23751,2016-12-31 12:00:00,1918.0,DAYTON,2016,12,31,5,1,35.6
23752,2016-12-31 13:00:00,1913.0,DAYTON,2016,12,31,5,1,37.4
23753,2016-12-31 14:00:00,1913.0,DAYTON,2016,12,31,5,1,41.0
23754,2016-12-31 15:00:00,1905.0,DAYTON,2016,12,31,5,1,42.8
23755,2016-12-31 16:00:00,1901.0,DAYTON,2016,12,31,5,1,46.4
23756,2016-12-31 17:00:00,1927.0,DAYTON,2016,12,31,5,1,44.6
23757,2016-12-31 18:00:00,2015.0,DAYTON,2016,12,31,5,1,50.0
23758,2016-12-31 19:00:00,1999.0,DAYTON,2016,12,31,5,1,46.4
23759,2016-12-31 20:00:00,1929.0,DAYTON,2016,12,31,5,1,46.4
23760,2016-12-31 21:00:00,1854.0,DAYTON,2016,12,31,5,1,44.6
23761,2016-12-31 22:00:00,1805.0,DAYTON,2016,12,31,5,1,42.8
23762,2016-12-31 23:00:00,1745.0,DAYTON,2016,12,31,5,1,42.8
23764,2016-12-30 01:00:00,1801.0,DAYTON,2016,12,30,4,0,35.6
23765,2016-12-30 02:00:00,1754.0,DAYTON,2016,12,30,4,0,33.8
23766,2016-12-30 03:00:00,1733.0,DAYTON,2016,12,30,4,0,35.6
23767,2016-12-30 04:00:00,1727.0,DAYTON,2016,12,30,4,0,37.4
23768,2016-12-30 05:00:00,1758.0,DAYTON,2016,12,30,4,0,33.8
23769,2016-12-30 06:00:00,1838.0,DAYTON,2016,12,30,4,0,33.8
23770,2016-12-30 07:00:00,1936.0,DAYTON,2016,12,30,4,0,32.0
23771,2016-12-30 08:00:00,2054.0,DAYTON,2016,12,30,4,0,33.8
23772,2016-12-30 09:00:00,2087.0,DAYTON,2016,12,30,4,0,33.8
23773,2016-12-30 10:00:00,2116.0,DAYTON,2016,12,30,4,0,33.8
23774,2016-12-30 11:00:00,2096.0,DAYTON,2016,12,30,4,0,33.8
23775,2016-12-30 12:00:00,2063.0,DAYTON,2016,12,30,4,0,33.8
23776,2016-12-30 13:00:00,2024.0,DAYTON,2016,12,30,4,0,32.0
23777,2016-12-30 14:00:00,1979.0,DAYTON,2016,12,30,4,0,32.0
23778,2016-12-30 15:00:00,1952.0,DAYTON,2016,12,30,4,0,30.2
